;parent;name;inner.name
0;sea;Was ist SEO und SEA?;Was ist SEO und SEM?
1;sea;Was ist SEO und SEA?;Was versteht man unter Online Marketing?
2;sea;Was ist ein Sea?;Was kostet Werbung bei Google?
3;sea;Was ist ein Sea?;Was heißt SEO optimiert?
4;sea;Was ist ein Sea?;Was kostet ein Klick bei Google AdWords?
5;sea;Was ist Search Engine Advertising?;Für was steht Sea?
6;sea;Was ist Search Engine Advertising?;Was ist eine Google AdWords Kampagne?
7;sea;Was ist ein SEA Manager?;Was macht man als SEO Manager?
8;sea;Was ist ein SEA Manager?;Was verdient ein SEO Manager?
9;sea;Was ist ein SEA Manager?;Was kostet eine gute SEO Optimierung?
